iter	RMSE
0	442.490314
1	440.4621805
2	438.5132091
3	436.2180377
4	434.0461579
5	431.843777
6	430.1594587
7	428.094183
8	426.0998774
9	424.0249067
10	422.1921868
11	420.2506764
12	418.3116383
13	416.2966847
14	414.5776175
15	412.8009394
16	410.9774146
17	409.1047417
18	407.6243957
19	405.9072209
20	404.25662
21	402.5329859
22	400.6495607
23	398.8468643
24	397.0329195
25	395.4747968
26	393.7206925
27	392.2904125
28	390.5630617
29	389.147937
30	387.60307
31	386.0164157
32	384.1076046
33	382.3830744
34	380.598756
35	379.0931667
36	377.6455643
37	376.0951499
38	374.6596684
39	372.8982744
40	371.4430906
41	370.1346896
42	368.3409801
43	366.9161522
44	365.5390053
45	364.015671
46	362.568824
47	361.0766459
48	359.4068914
49	358.026484
50	356.6569261
51	355.3295581
52	353.7981543
53	352.3857927
54	351.017063
55	349.5583299
56	348.3551914
57	347.0770426
58	345.9005401
59	344.5492739
60	343.4861303
61	342.1246162
62	340.6842766
63	339.3315019
64	337.8521507
65	336.5759989
66	335.2858902
67	334.0030235
68	332.7313763
69	331.5974885
70	330.5354149
71	329.3024752
72	328.053482
73	326.9395455
74	325.5288974
75	324.3277188
76	323.0868571
77	321.8690017
78	320.9509169
79	319.8700363
80	318.4920699
81	317.4778062
82	316.3636635
83	315.1041604
84	314.0018701
85	312.8242118
86	311.7133822
87	310.6125773
88	309.593407
89	308.6035314
90	307.4645756
91	306.335962
92	305.3546576
93	304.3497567
94	303.3926155
95	302.1234778
96	300.874806
97	299.8192745
98	298.8369756
99	297.8913508
100	296.8220741
101	295.859124
102	295.0212733
103	293.971255
104	292.8563786
105	291.8182216
106	290.8176654
107	289.938397
108	288.7005005
109	287.7512562
110	286.8929047
111	285.9704538
112	284.905716
113	284.1826027
114	283.1170272
115	282.0680805
116	281.2294931
117	280.2761021
118	279.4292163
119	278.5105683
120	277.6361767
121	276.8037869
122	276.0239867
123	275.1795488
124	274.3292722
125	273.4198837
126	272.5973891
127	271.8101515
128	270.9025424
129	270.0364886
130	269.0385322
131	268.1937827
132	267.4049794
133	266.6338446
134	265.8071481
135	264.8647141
136	264.1327683
137	263.2736152
138	262.3035083
139	261.5548509
140	260.6810614
141	259.9520565
142	259.163794
143	258.4748956
144	257.7311746
145	256.9606337
146	256.3518311
147	255.504933
148	254.723885
149	253.8840501
150	253.0754983
151	252.245375
152	251.5607633
153	250.9442552
154	250.1822151
155	249.4448988
156	248.7637093
157	248.1165411
158	247.4318005
159	246.6414875
160	245.9710878
161	245.2531651
162	244.3669394
163	243.5127155
164	242.7095888
165	242.037674
166	241.2252825
167	240.5849477
168	239.7800585
169	239.1427178
170	238.5203908
171	237.7975333
172	237.3602037
173	236.6786338
174	236.020221
175	235.3476701
176	234.6718452
177	233.8885269
178	233.1892495
179	232.5527509
180	231.9618575
181	231.3342102
182	230.7244333
183	230.1436842
184	229.5095318
185	228.8917327
186	228.263669
187	227.6023563
188	227.0846972
189	226.4545281
190	225.898166
191	225.3663235
192	224.7996893
193	224.2439337
194	223.6864443
195	223.1405707
196	222.4965559
197	221.9452309
198	221.4075421
199	220.9138
